name,tier,tier_name,public,earnings,sat,faculty,price
Davis & Elkins College,6,Selective private,0,35.9,938,36.36993333333333,13.024
DePauw University,6,Selective private,0,47.8,1190,61.7125,20.55
DeSales University,6,Selective private,0,48.3,1080,46.43096153846154,14.79
Dean College,8,Nonselective four-year private not-for-profit,0,32.7,935,40.480769230769226,16.27
Defiance College,6,Selective private,0,37,1010,40.64913513513513,15.05
Delaware Valley College Of Science & Agriculture,6,Selective private,0,42.2,980,46.347181818181824,16.696
Denison University,4,Highly selective private,0,48.6,1210,56.687853107344644,22.21
Depaul University,6,Selective private,0,50.9,1115,66.93621568627451,15.42
Dickinson College,4,Highly selective private,0,52.1,1235,54.64813125,24.45
Dillard University,6,Selective private,0,34,925,53.050125,9.445
Dominican College Of Blauvelt,6,Selective private,0,51,945,37.129921875,13.28
Dordt College,6,Selective private,0,38.4,1160,39.585333333333345,13.35
Drake University,6,Selective private,0,55.7,1155,56.26407843137255,17.89
Drew University,6,Selective private,0,50.9,1210,66.65919863013698,24.018
Duquesne University Of The Holy Spirit,6,Selective private,0,54.3,1080,58.73273076923077,16.52
Earlham College,6,Selective private,0,32.3,1205,54.72121951219512,21.07
East Carolina University,5,Selective public,1,39.2,1030,54.2878821192053,2.257
East Georgia State College,7,Nonselective four-year public,1,29.7,820,40.94793939393939,1.376
East Stroudsburg University Of Pennsylvania,5,Selective public,1,42.9,955,68.36380894308944,4.718
East Tennessee State University,5,Selective public,1,34,990,49.47351374207188,2.759
Eastern Connecticut State University,5,Selective public,1,42.4,1010,58.717,4.146
Eastern Mennonite University,6,Selective private,0,39.5,1070,40.153319587628864,14.156
Eastern Michigan University,5,Selective public,1,37.3,1005,56.84023677248678,3.777
Eastern Nazarene College,6,Selective private,0,44.4,1030,42.26426086956522,14.062
Eastern Oregon University,5,Selective public,1,37.8,970,40.040898734177226,3.387
Eastern University,6,Selective private,0,42.8,1095,49.89913793103448,14.6
Eastern Washington University,5,Selective public,1,40.5,1005,49.866619318181826,3.012
Eckerd College,6,Selective private,0,40.8,1135,50.88082474226805,18.785
Edinboro University Of Pennsylvania,5,Selective public,1,33.9,940,62.79954857142856,4.569
Elizabeth City State University,5,Selective public,1,30.1,835,51.152872549019605,1.686
Elmira College,6,Selective private,0,43.6,1090,47.54196875,22.54
Elon University,4,Highly selective private,0,44.5,1120,50.81290952380953,13.781
Embry-Riddle Aeronautical University,6,Selective private,0,60.9,1100,43.93272537313433,14.82
Emerson College,4,Highly selective private,0,44.8,1200,61.92727586206895,19.944
Emory & Henry College,6,Selective private,0,39.6,1043,46.076854838709664,13.15
Emory University,2,Other elite schools (public and private),0,59,1380,90.22221833333334,24.532
Endicott College,6,Selective private,0,42.8,1015,48.66940322580645,15.116
Erskine College,6,Selective private,0,36,1135,46.40156666666666,15.712
Evergreen State College,5,Selective public,1,31.8,1120,53.54820754716981,3.001
Fairfield University,6,Selective private,0,69,1180,69.68803603603604,21.435
Fairleigh Dickinson University,6,Selective private,0,46.8,995,58.60368363636364,16.626
Fayetteville State University,5,Selective public,1,31.1,835,53.49632663316583,1.62
Felician College,6,Selective private,0,41.4,870,45.123602941176486,11.69
Fitchburg State University,5,Selective public,1,42.1,1000,50.02961691542289,3.018
Five Towns College,10,Four-year for-profit,0,33.8,1015,32.37444444444445,9.91
Flagler College,6,Selective private,0,37.2,1110,41.5778125,6.32
Florida Agricultural & Mechanical University,5,Selective public,1,37.3,985,57.53443032786886,2.423
Florida Atlantic University,5,Selective public,1,41.4,1030,59.22323201174743,2.397
Florida College,8,Nonselective four-year private not-for-profit,0,36.9,1065,42.482709677419365,7.7
Florida Gulf Coast University,5,Selective public,1,41.2,1025,52.889171974522284,2.192
Florida Institute Of Technology,6,Selective private,0,53.1,1165,54.41024468085107,18.45
Florida International University,5,Selective public,1,45.1,1125,60.073633838383834,2.409
Florida Southern College,6,Selective private,0,37.6,1055,48.64046728971963,12.95
Florida State University,5,Selective public,1,44,1165,65.75099169741698,2.378
Fordham University,4,Highly selective private,0,55.4,1165,73.73418512898331,20.66
Fort Lewis College,5,Selective public,1,34,982.5,46.22423204419889,2.331
Fort Valley State University,5,Selective public,1,28.9,905,49.76741843971631,2.412
Framingham State University,5,Selective public,1,43.2,1010,55.600453416149065,2.83
Francis Marion University,5,Selective public,1,32.3,952.5,49.78790506329114,3.6
Franciscan University Of Steubenville,6,Selective private,0,35.5,1130,36.71631683168317,12.97
Franklin & Marshall College,2,Other elite schools (public and private),0,54.8,1270,65.81720238095238,24.866
Franklin College Of Indiana,6,Selective private,0,41,1030,49.218518518518515,14.245
Franklin Pierce University,6,Selective private,0,38,990,48.52246153846154,19.08
Fresno Pacific University,6,Selective private,0,39.7,1015,45.797217391304336,14.248
Furman University,4,Highly selective private,0,47.5,1265,62.15825352112675,19.156
Gannon University,6,Selective private,0,46.2,1040,42.81244999999999,14.112
Geneva College,6,Selective private,0,37.5,1060,44.377616438356164,13.33
George Fox University,6,Selective private,0,43.3,1130,48.15706363636364,17.62
George Mason University,5,Selective public,1,57,1070,70.47696226415096,3.768
George Washington University,2,Other elite schools (public and private),0,64.5,1240,81.37968318122556,25.04
Georgetown University,2,Other elite schools (public and private),0,83.3,1375,83.99175117370892,24.168
Georgia College & State University,5,Selective public,1,38.5,1045,51.14424497991968,2.358
Georgia Highlands College,9,Two-year (public and private not-for-profit),1,34.1,913.5,45.61111428571428,1.964
Georgia Institute Of Technology,3,Highly selective public,1,74,1335,87.78471352785147,3.308
Georgia Southern University,5,Selective public,1,39.3,1005,52.564064,2.5
Georgia Southwestern State University,5,Selective public,1,36.4,1000,48.83564356435643,2.398
Georgia State University,5,Selective public,1,41.5,1040,64.05823347547974,3.132
Georgian Court University,6,Selective private,0,45.7,900,50.48523809523809,12.942
Gettysburg College,4,Highly selective private,0,52.2,1200,62.54902439024391,24.875
Glenville State College,5,Selective public,1,31.4,940,43.89988405797102,2.376
Gonzaga University,4,Highly selective private,0,52.8,1170,54.78404363636364,17.56
Gordon College,6,Selective private,0,41.6,1195,53.54762068965518,17.27
Gordon State College,7,Nonselective four-year public,1,29.9,885,47.270910256410254,1.42
Goshen College,6,Selective private,0,36.3,1125,43.05794871794872,13.14
Goucher College,6,Selective private,0,45.5,1195,61.78469230769231,21.29
Green Mountain College,6,Selective private,0,30.6,985,40.719375,17.4
Greensboro College,6,Selective private,0,35.1,945,47.28727777777778,12.7
Grinnell College,4,Highly selective private,0,45.6,1345,64.602575,20.5
Guilford College,6,Selective private,0,38.5,1135,46.595694444444455,16.815
Hamilton College,2,Other elite schools (public and private),0,57.3,1280,69.95693452380952,26.1
Hampden Sydney College,6,Selective private,0,50.2,1120,52.63379166666666,17.189
Hampton University,6,Selective private,0,42.2,1030,49.84444407894737,11.112
Hannibal - Lagrange University,6,Selective private,0,33.9,1115,33.45082,8.83
Hanover College,6,Selective private,0,44.4,1135,52.6277108433735,11.77
Harcum College,9,Two-year (public and private not-for-profit),0,33.7,830,37.41222222222222,10.9
Hardin-Simmons University,6,Selective private,0,38.6,1015,45.2601875,9.95
Harding University,6,Selective private,0,38.6,1135,47.11556994818653,8.425
Hartwick College,6,Selective private,0,46.1,1115,50.47202857142858,25.085
Harvard University,1,Ivy Plus,0,87.2,1485,116.117367032967,25.128
Harvey Mudd College,2,Other elite schools (public and private),0,78.6,1465,79.93246753246753,23.187
Hastings College,6,Selective private,0,40.4,1070,44.96513698630137,12.916
Haverford College,2,Other elite schools (public and private),0,55.6,1365,69.4446504854369,24.94
Hawaii Pacific University,6,Selective private,0,43.4,995,53.60537320574163,8.98
Heidelberg University,6,Selective private,0,38,1117,45.90382191780822,17.268
Henderson State University,5,Selective public,1,35.2,1050,46.80937951807229,2.777
Hendrix College,4,Highly selective private,0,40.5,1230,54.34583544303798,12.665
High Point University,6,Selective private,0,37.5,1005,51.21525423728814,12.44
Hiram College,6,Selective private,0,39,1140,51.8304794520548,18.44
Hobart And William Smith Colleges,6,Selective private,0,48.6,1155,49.46765771812081,25.192
Hofstra University,6,Selective private,0,53.2,1095,72.02591810344828,15.042
Hollins University,6,Selective private,0,37,1130,51.51333333333334,17.21
Holy Family University,6,Selective private,0,49.9,915,47.98407792207792,12.76
Hood College,6,Selective private,0,43.1,1145,48.25283561643836,18.62
Hope College,6,Selective private,0,43.3,1200,47.58438693467337,16.644
Houghton College,6,Selective private,0,39.2,1165,46.26072727272727,15.18
Houston Baptist University,6,Selective private,0,43.6,1060,46.056038759689926,9.258
Howard Payne University,6,Selective private,0,37.3,992,39.48536486486487,9
Howard University,6,Selective private,0,46.5,1090,62.46937078651685,9.745
Humboldt State University,5,Selective public,1,36.2,1055,64.81693203883496,1.861
Huntingdon College,6,Selective private,0,37.1,1145,43.455833333333345,11.91
Huntington University,6,Selective private,0,35.5,1050,46.843181818181826,14.23
Huston - Tillotson University,6,Selective private,0,30.5,822,36.31491891891892,7.468
Illinois Institute Of Technology,4,Highly selective private,0,68.2,1334,76.7128790560472,18.1
Illinois Wesleyan University,4,Highly selective private,0,54.6,1260,56.51929032258064,20.41
Immaculata University,6,Selective private,0,49,995,39.718729166666655,13.95
Indiana State University,5,Selective public,1,36,930,51.60447619047619,3.564
Indiana University - Purdue University - Ft Wayne,5,Selective public,1,35.9,968,49.53814057507987,3.683
Indiana University Of Pennsylvania,5,Selective public,1,38,990,68.03725731895224,4.617
Indiana University System,5,Selective public,1,39.941472999999995,1014.3737,64.58437750574674,3.9353718
Indiana Wesleyan University,6,Selective private,0,46,1220.5,43.124976000000004,12.25
Iona College,6,Selective private,0,52.7,1000,58.4141,15.87
Iowa State University Of Science & Technology,5,Selective public,1,47.2,1205,70.94698136645962,3.132
Ithaca College,6,Selective private,0,50.4,1170,54.325417661097845,19.192
Jacksonville University,6,Selective private,0,47.7,1046.5,48.82810714285715,15.51
James Madison University,5,Selective public,1,53.4,1170,56.39374451410658,4
John Brown University,6,Selective private,0,46.2,1150,44.60426666666667,11.492
John Carroll University,6,Selective private,0,51,1140,57.16906837606838,16.384
Johnson & Wales University,6,Selective private,0,35.1,920,44.32189910979228,14.377745000000001
Johnson C Smith University,6,Selective private,0,31.3,940,46.38548387096774,11.605
Johnson University,8,Nonselective four-year private not-for-profit,0,29.4,1061.5,40.66213043478261,5.28
Juniata College,6,Selective private,0,45.2,1155,53.60363529411764,19.36
Kalamazoo College,4,Highly selective private,0,49.4,1260,51.1029587628866,19.764
Kansas City Art Institute,8,Nonselective four-year private not-for-profit,0,25.8,1020,44.50863414634147,18.218
Kean University,5,Selective public,1,46.8,945,68.41244827586208,4.613
Kendall College,10,Four-year for-profit,0,40.5,972.5,40.868928571428576,12.15
Kennesaw State University,5,Selective public,1,41.3,1025,57.24348638132296,2.35
Kentucky State University,5,Selective public,1,26.6,830,48.841617391304354,2.44
Kentucky Wesleyan College,6,Selective private,0,36.6,965,37.96058139534884,10.32
Kenyon College,2,Other elite schools (public and private),0,43.7,1280,60.22043661971831,26.08
Kettering University,4,Highly selective private,0,74.9,1220,62.8182695035461,16.11
Keystone College,6,Selective private,0,31.4,870,39.08447272727273,12.106
King University,6,Selective private,0,39.7,1051,38.30369230769231,12.7
"King's College of Wilkes-Barre, PA",6,Selective private,0,48.9,1035,49.67803571428572,16.7
Knox College,4,Highly selective private,0,41.6,1220,48.96376136363636,21.174
Kutztown University Of Pennsylvania,5,Selective public,1,41.4,980,64.48152354570637,4.667
La Salle University,6,Selective private,0,53.2,1080,57.75058549222797,18.4
Lafayette College,2,Other elite schools (public and private),0,69.8,1245,70.21843575418994,23.846
Lagrange College,6,Selective private,0,38.1,1005,48.85471666666667,11.66
Lamar University,5,Selective public,1,38.8,955,43.68922478991596,1.968
Lancaster Bible College,8,Nonselective four-year private not-for-profit,0,30.4,995,37.939440000000005,9.93
Lander University,5,Selective public,1,33.9,948.5,49.30262162162162,5.832
Lasell College,6,Selective private,0,40.9,925,46.27,15.5
Lawrence University Of Wisconsin,4,Highly selective private,0,42.8,1255,53.65892307692308,21.855
Le Moyne College,6,Selective private,0,48.8,1090,61.38179545454546,15.87
Lebanon Valley College,6,Selective private,0,46.1,1095,51.37907954545454,18.42
Lees-Mcrae College,6,Selective private,0,34.4,960,34.90822916666666,11.34
Lehigh University,2,Other elite schools (public and private),0,76.8,1275,80.51338422391858,24
Lenoir-Rhyne University,6,Selective private,0,36.9,1105,40.40838947368421,13.356
Lesley University,6,Selective private,0,36.7,1015,55.3803185840708,16.455
Letourneau University,6,Selective private,0,50,1170,46.28086440677966,12.26
Lewis & Clark College,6,Selective private,0,43.4,1264,62.863969387755105,21.52
Lewis University,6,Selective private,0,47.1,1060,52.07643971631206,14.208
Lim College,10,Four-year for-profit,0,48.9,930,32.0734,13.025
Limestone College,6,Selective private,0,36.1,950,29.12696296296296,10.1
Linfield College,6,Selective private,0,51.3,1078.0975,49.084824,18.594662
Lipscomb University,6,Selective private,0,39,1095,47.05707894736842,10.268
Lock Haven University Of Pennsylvania,5,Selective public,1,39.1,975,61.01346798029557,4.548
Long Island University System,6,Selective private,0,46,980,70.80135239567234,16.92
Longwood University,5,Selective public,1,40.8,1070,49.76893567251462,4.003
Louisburg College,9,Two-year (public and private not-for-profit),0,27.7,815,32.85355882352941,9.3
Lourdes University,6,Selective private,0,36,990,37.56535849056604,9.624
Loyola Marymount University,6,Selective private,0,55.6,1110,76.43940482573727,19.562
Loyola University Chicago,4,Highly selective private,0,50.6,1155,67.83981115879828,18.766
Loyola University Maryland,4,Highly selective private,0,62.1,1220,62.51464905660378,21.8
Loyola University New Orleans,4,Highly selective private,0,41.3,1160,60.725585551330795,15.481
Lubbock Christian University,6,Selective private,0,36.7,1000,38.1351,10.45
Lycoming College,6,Selective private,0,42.8,1080,52.542804878048784,18.32
Lynchburg College,6,Selective private,0,40.9,1020,51.524036697247716,18.105
Lynn University,6,Selective private,0,35.5,930,52.01523529411765,19.1
MCP Hahnemann And Drexel Universities,6,Selective private,0,61.1,1150,69.21663917525774,16.867
MCPHS University,8,Nonselective four-year private not-for-profit,0,116.4,1176,57.74487096774193,17.343
Macalester College,2,Other elite schools (public and private),0,45.7,1335,64.52330405405405,21.614
Manchester University,6,Selective private,0,38,1010,43.20842857142857,14.61
Manhattanville College,6,Selective private,0,46.3,1280,45.53512676056338,19.62
Manor College,9,Two-year (public and private not-for-profit),0,38.1,865,31.158695652173908,8.6
"Marian University of Indianapolis, IN",6,Selective private,0,40.4,970,40.26906349206349,14.836
Marquette University,4,Highly selective private,0,55.6,1155,64.93955720338982,17.336
Mars Hill University,6,Selective private,0,32.8,960,38.154535714285714,12.8
Mary Baldwin College,6,Selective private,0,36.8,1037.5,50.07982608695652,15.31
Maryland Institute College Of Art,8,Nonselective four-year private not-for-profit,0,31.4,1125,41.08059595959596,20.08
Marymount California University,8,Nonselective four-year private not-for-profit,0,32.6,934,50.329095238095235,15.46
Marymount Manhattan College,6,Selective private,0,39.5,1030,43.74355421686747,14.07
